Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Lloyds Enterpris,44.05,51.42,5603.72,0.23,40.46,-23.39,385.49,158.16,6.77
ITC,465.95,28.37,582889.11,2.95,5054.43,1.95,20735.87,16.66,37.47
Optiemus Infra.,631.35,79.90,5420.59,0.00,13.73,154.26,476.58,73.72,15.44
PTC India,166.57,10.14,4930.64,4.68,233.82,11.81,5127.99,1.15,9.64
SG Mart,386.75,71.13,4333.73,0.00,15.95,78.21,1815.53,258.63,
D.P. Abhushan,1643.85,44.72,3716.90,0.00,25.13,88.52,1004.72,83.93,27.12
Fischer Medical,625.55,1818.85,3346.69,0.00,0.29,,39.66,,5.30
Schaeffler India,3424.00,56.39,53518.38,0.76,247.13,5.16,2072.83,12.15,26.72
Timken India,3237.55,61.62,24352.44,0.08,89.95,-3.33,752.89,10.40,23.36
Life Insurance,908.65,13.86,574720.92,1.10,7722.74,-3.83,231132.12,13.84,72.95
LMW,15231.80,81.27,16272.13,0.49,24.46,-78.75,768.99,-41.76,18.08
Tega Inds.,1930.25,75.96,12843.01,0.10,7.22,-84.76,353.30,-6.40,19.20
Azad Engineering,1579.05,133.84,9334.24,0.00,20.88,7.46,111.54,34.65,19.89
The Anup Enginee,3534.35,59.23,7069.57,0.42,32.31,48.76,187.87,34.34,22.58
Skipper,531.15,50.87,5453.33,0.02,33.94,78.82,1109.74,43.68,20.33
Rajoo Engineers,357.25,179.07,4394.50,0.07,7.24,36.86,56.81,6.13,23.70
KRN Heat Exchan,652.20,101.73,4053.85,0.00,12.10,40.53,98.94,38.98,42.09
Balkrishna Inds,2738.70,32.50,52943.78,0.58,346.94,-0.14,2419.74,7.39,17.62
KP Green Engg.,564.55,54.61,2822.75,0.04,27.48,,262.36,152.44,29.85
HMT,69.76,,2480.68,0.00,-27.09,6.13,41.59,14.83,
Thejo Engg.,2003.25,42.32,2172.31,0.15,12.29,-9.36,133.44,-0.44,28.31
Uniparts India,414.95,18.61,1872.83,3.37,21.15,-35.91,241.41,-17.80,18.14
Macpower CNC,1330.55,46.95,1331.10,0.11,8.30,34.74,71.10,12.68,29.74
Emkay Taps & Cut,1244.95,13.83,1328.52,0.00,55.00,,54.76,11.96,19.31
Axtel Industries,478.05,31.02,772.28,1.26,5.90,-50.50,55.84,-19.62,40.73
Affordable Robo.,662.00,800.54,744.50,0.00,-12.29,,43.72,2.13,9.92
Veranda Learning,258.30,,1843.81,0.00,-30.37,-1866.67,138.62,40.92,-0.33
Vantage Knowledg,145.20,806.21,1652.74,0.00,0.86,207.14,1.17,67.14,20.51
Lucent Industrie,570.40,,855.60,0.00,-0.13,-1200.00,0.00,,-0.64
Career Point,467.60,13.71,850.70,0.64,12.94,12.15,26.41,29.21,13.36
Addictive Learn,381.00,92.83,606.16,0.00,2.79,,32.98,100.73,40.13
CL Educate,109.66,55.92,593.24,0.00,3.38,-38.32,98.68,10.83,7.62
Drone Destinatio,200.30,63.13,486.73,0.00,1.02,,13.83,152.37,23.28
Global Education,175.26,12.13,356.84,2.85,10.46,-2.61,23.39,2.36,54.60
Droneacharya Aer,112.25,48.34,269.27,0.00,1.61,,26.90,28.77,11.80
VJTF Eduservices,99.18,17.66,174.56,0.00,10.43,,1.27,,66.33
Shanti Educat.,157.65,517.99,2538.17,0.00,2.70,92.86,6.29,116.15,7.43
Golden Crest,332.25,871.35,174.27,0.00,0.10,,0.11,450.00,0.85
LCC Infotech,11.49,,145.46,0.00,-1.09,-333.33,0.01,-98.08,-1.61
Arihant Academy,210.00,25.95,127.16,0.48,2.45,-34.05,14.75,-5.33,8.96
Winsome Brew.,43.63,119.52,120.72,0.00,0.40,-25.93,0.63,12.50,0.00
Navneet Educat.,135.84,15.61,3072.88,1.91,-4.86,70.80,271.79,2.26,16.24
Flair Writing,261.10,24.68,2751.87,0.00,31.97,-4.14,241.89,-0.99,22.67
Kokuyo Camlin,154.66,71.82,1551.30,0.32,-10.63,-212.13,172.51,-11.46,17.01
Linc,625.45,25.72,930.19,0.80,8.78,13.88,134.64,2.61,23.71
Repro India,528.25,270.70,755.25,0.00,-4.45,-328.21,104.66,-10.45,6.06
S Chand & Compan,196.31,17.46,691.35,1.53,-52.76,-28.17,37.45,-1.50,6.30
Honeywell Auto,42104.85,70.53,37220.69,0.24,115.10,-5.58,1023.90,-7.27,19.85
Syrma SGS Tech.,547.65,91.75,9725.45,0.27,39.65,24.01,832.74,17.00,9.84
Cyient DLM,629.95,74.12,4995.89,0.00,15.55,6.14,389.43,33.44,14.08
Sahasra Electro.,905.75,69.38,2263.72,0.00,,,,,65.05
Doms Industries,2687.30,87.83,16308.48,0.09,53.68,42.54,457.77,19.71,30.67
Centum Electron,1636.10,,2110.05,0.37,-0.31,93.20,259.83,4.68,10.11
Kernex Microsys.,867.50,,1453.88,0.00,6.82,254.65,41.22,2823.40,-21.09
Zomato Ltd,269.66,321.13,238280.80,0.00,176.00,388.89,4799.00,68.50,1.14
Info Edg.(India),7768.20,208.13,100663.54,0.28,84.74,-91.06,700.82,11.98,3.65
One 97,769.10,,48971.11,0.00,930.00,-42.26,1659.50,-34.11,-8.50
FSN E-Commerce,171.05,1142.30,48890.31,0.00,12.97,71.62,1874.74,24.40,6.87
Swiggy,430.70,,96409.93,0.00,-611.01,-6.13,3222.22,34.83,-24.39
TBO Tek,1567.55,78.01,17021.68,0.00,60.09,8.00,450.69,27.92,42.93
Indiamart Inter.,2284.15,31.82,13700.14,0.88,135.10,94.67,347.70,17.98,23.93
Just Dial,1081.35,29.52,9195.83,0.00,154.07,390.04,284.83,9.29,4.81
Le Travenues,144.48,90.92,5609.67,0.00,13.09,513.91,206.47,25.96,6.53
MSTC,582.70,22.59,4102.21,2.66,56.39,-6.85,71.92,-11.35,34.65
Easy Trip Plann.,30.10,30.30,5333.84,0.33,27.80,-45.98,103.30,-14.06,43.36
Yatra Online,110.93,96.81,1740.67,0.00,7.30,142.62,236.40,151.14,3.54
Creative Newtech,899.50,23.41,1269.53,0.06,13.22,26.39,411.42,-4.28,27.01
Vasa Denticity,618.15,56.28,990.04,0.00,8.79,43.97,111.84,47.59,44.98
Macfos,1026.55,55.91,966.68,0.00,6.28,214.00,89.87,232.36,
Hind.Aeronautics,4087.05,32.28,273331.69,0.86,1490.36,20.30,5976.55,6.05,38.88
Bharat Electron,280.95,45.24,205368.24,0.78,1092.78,38.40,4604.90,14.86,34.61
Solar Industries,10008.55,89.61,90567.42,0.08,303.78,42.84,1715.83,27.34,32.47
Bharat Dynamics,989.55,65.53,36273.19,0.53,122.53,-16.70,544.77,-11.54,24.23
Cochin Shipyard,1312.40,38.94,34526.72,0.74,193.07,1.08,1096.98,14.96,21.62
Garden Reach Sh.,1406.40,41.87,16110.59,0.67,97.77,21.09,1152.92,28.40,27.37
Zen Technologies,1766.95,78.73,15953.85,0.06,63.44,359.46,241.84,263.67,46.11
BEML Ltd,3791.20,55.28,15786.56,0.54,51.03,-1.47,859.84,-6.21,15.25
Data Pattern,2166.65,65.52,12129.77,0.30,30.28,-10.39,91.02,-15.96,19.71
Astra Microwave,752.05,54.77,7140.34,0.27,25.39,-15.42,229.61,20.77,18.77
Embassy Off.REIT,380.07,16.21,36026.60,3.00,1530.36,606.31,1025.81,10.76,5.41
Mishra Dhatu Nig,320.30,68.55,6000.50,0.44,23.55,70.04,262.12,15.22,9.44
MTAR Technologie,1572.25,124.16,4836.18,0.00,18.78,-9.84,190.18,14.07,11.38
Paras Defence,980.60,93.48,3951.20,0.00,12.70,44.98,87.09,42.05,10.32
Century Plyboard,748.65,75.12,16632.98,0.13,39.98,-58.74,1183.62,18.74,18.01
Greenlam Industr,517.20,54.81,6598.12,0.32,34.45,-11.60,680.81,12.78,12.08
Greenply Industr,323.75,39.63,4006.31,0.15,17.57,-6.44,640.48,12.82,10.68
Stylam Industrie,2230.15,28.60,3779.67,0.11,34.10,7.44,262.70,12.29,33.70
Rushil Decor,32.12,19.62,868.74,0.31,11.60,9.95,228.63,11.74,11.87
Duroply Indust.,255.95,87.05,252.45,0.00,0.50,-23.08,90.81,9.03,6.08
BSE,4547.80,74.79,61566.46,0.33,345.77,192.01,813.30,124.66,19.97
C D S L,1472.75,57.77,30780.48,0.65,161.96,48.79,322.26,55.45,40.18
Multi Comm. Exc.,5950.65,87.44,30348.32,0.13,153.62,905.56,285.58,72.96,7.15
Cams Services,4581.95,56.51,22581.20,1.01,115.22,41.58,341.90,34.09,49.77
Greenpanel Inds.,341.95,46.13,4193.24,0.44,18.50,-54.61,336.87,-15.50,12.80
KFin Technolog.,977.50,56.11,16760.81,0.59,89.32,45.52,280.47,34.22,30.26
Indian Energy Ex,161.51,37.51,14401.73,1.55,106.08,28.01,139.24,28.30,50.01
Alfa Ica (I),94.97,20.63,38.37,0.00,0.48,17.07,18.42,10.04,10.98
Deco-Mica,74.95,17.59,31.48,0.00,0.06,-89.47,18.14,-1.57,13.52
Natl. Plywood,7.73,,19.05,0.00,-0.55,-184.62,2.11,-79.37,
Bloom Dekor,14.44,,9.89,0.00,-0.18,21.74,1.33,-27.72,-17.95
